Title,Kaltmiete zzgl. Nebenkosten,Warmmiete,Nebenkosten,Heizkosten_1,Heizkosten_2,Miete pro Stellplatz,Rooms_number,Surface Area,Floor,availability,Zip Code,Additional Price Info,pics_number,energy_efficiency,Year of Construction,Condition,Heating type,Heating system,Price per sqm,Caution 1,Caution 2,Merkmale_1,Merkmale_2,Merkmale_3,Merkmale_4,Merkmale_5,Merkmale_6,Merkmale_7,Merkmale_8
Wohnung zur Miete,,"4.066,14 €",900 €,in Warmmiete enthalten,,,4,"190,4 m²",2.,Baujahr,10178,"Nettokaltmiete: 3.166,14 EUR",1 / 9,,2004.0,"Neubau, neuwertig",Fernwärme,Zentralheizung,"16,63 Euro pro Quadratmeter","9.498,42",,Einbauküche,Personenaufzug,sofort,Terrasse,Kelleranteil,2. Geschoss,Barrierefrei,
Wohnung zur Miete · Wohnen auf Zeit,,2.750 €/Monat,,,,,2,75 m²,,07.05.2025,10249,,1 / 14,,,,,,,"5.000,00",,"Einbauküche, Kochnische",frei ab 07.05.2025,möbliert,3. Geschoss,Bad mit Dusche,max. 3 Personen,,
Wohnung zur Miete,2.615 €,2.820 €,510 €,in Nebenkosten enthalten,,,2,138 m²,7.,Zustand der Immobilie,10117,,1 / 30,E,,renoviert / saniert,Elektro,Zentralheizung,"18,95 Euro pro Quadratmeter",,2.000 €,Einbauküche,Personenaufzug,sofort,Terrasse,Haustiere erlaubt,möbliert,7. Geschoss,Bad mit Fenster
Wohnung zur Miete,1.480 €,1.769 €,289 €,in Warmmiete enthalten,,,2,"61,2 m²",1.,ab sofort,12555,"Nettokaltmiete: 1.480,00 EUR",1 / 21,,2020.0,"Neubau, Erstbezug",,Zentralheizung: Fußbodenheizung,"24,19 Euro pro Quadratmeter",3 Nettokaltmieten,,"Einbauküche, Offene Küche",DSL-Anschluss,Personenaufzug,ab sofort möglich,Balkon,Kelleranteil,1. Geschoss,"Badezimmer: Bad mit Dusche, Bad mit Fenster"
Wohnung zur Miete,,"1.188,30 €",199 €,,218 €218 €,,2,"84,5 m²",6.,ab sofort,12107,"Nettokaltmiete: 771,30 EUR",1 / 8,E,1973.0,,Fernwärme,,"9,13 Euro pro Quadratmeter","2313,90  €",,Personenaufzug,Frei ab sofort,Balkon,Haustiere erlaubt,Kelleranteil,6. Geschoss,,
Studio zur Miete,1.145 €,1.420 €,275 €,in Nebenkosten enthalten,,,1,45 m²,1.,Zustand der Immobilie,10439,,1 / 23,,,renoviert / saniert,Elektro,Zentralheizung,"25,44 Euro pro Quadratmeter",,2.000 €,Einbauküche,sofort,Haustiere erlaubt,möbliert,1. Geschoss,,,
Wohnung zur Miete,1.900 €,2.250 €,,,350 €350 €,,4,106 m²,1.,ab sofort,13503,,1 / 20,D,1997.0,renoviert / saniert,,Zentralheizung,"17,92 Euro pro Quadratmeter",(= 5.700 EUR),,Einbauküche,sofort,Balkon,Gartenmitbenutzung,Außen-Stellplatz,Kelleranteil,teilweise möbliert,1. Geschoss
Studio zur Miete,2.090 €,2.295 €,350 €,in Nebenkosten enthalten,,,2,49 m²,1.,Baujahr,10179,,1 / 24,,2020.0,Neubau,"Fernwärme, Luft-/Wasser-Wärmepumpe",Fußbodenheizung,"42,65 Euro pro Quadratmeter",,2.000 €,Einbauküche,Personenaufzug,sofort,Haustiere erlaubt,möbliert,1. Geschoss,,
Wohnung zur Miete · Wohnen auf Zeit,,2.600 €/Monat,,,,,3,65 m²,,01.05.2025,10115,,1 / 20,,,,,,,"2.600,00",,"Einbauküche, Kochnische",frei ab 01.05.2025,möbliert,3. Geschoss,Bad mit Dusche,max. 4 Personen,,
Wohnung zur Miete,2.500 €,3.175 €,,,675 €675 €,35 €35 €,5,200 m²,1.,01.03.2025,13125,,1 / 1,,1908.0,,Fernwärme,Zentralheizung,"12,50 Euro pro Quadratmeter","7.500,00",,frei ab 01.03.2025,Balkon,2 Stellplätze: 2 Außen-Stellplätze,Kelleranteil,1. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche, Bad mit Fenster",Bodenbelag: Parkett,Denkmalschutz-Afa
Wohnung zur Miete · Wohnen auf Zeit,,1.450 €/Monat,,,,,3,45 m²,,03.05.2025,12683,,1 / 12,,,,,,,,300 €,"Einbauküche, Kochnische",frei ab 03.05.2025,möbliert,1. Geschoss,Bad mit Dusche,max. 2 Personen,voll klimatisiert,
Wohnung zur Miete,1.900 €,2.100 €,,in Warmmiete enthalten,,,3,45 m²,,ab sofort,10439,,1 / 19,,,,,,"42,22 Euro pro Quadratmeter",,3.200 €,Einbauküche,Frei ab sofort,möbliert,Bad mit Dusche,max. 4 Personen,2 Monate,,
